"Table Name","Table Is_Physical_Only","Column Name","Column Is_Physical_Only"
OrderVehicle,false,StaffId,false
OrderVehicle,false,UserAuthorizationId,
OrderVehicle,false,SysStartTime,
OrderVehicle,false,SysEndTime,
OrderVehicle,false,RowLevelHashKey,
UserAuthorization,,UserAuthorizationId,
UserAuthorization,,ClassTime,
UserAuthorization,,IndividualProject,
UserAuthorization,,GroupMemberLastName,
UserAuthorization,,GroupMemberFirstName,
UserAuthorization,,GroupName,
UserAuthorization,,SysStartTime,
UserAuthorization,,SysEndTime,
AuditCustomerHistory,,AuditCustomerHistory,
AuditCustomerHistory,,CustomerId,
AuditCustomerHistory,,CustomerName,
AuditCustomerHistory,,CustomerAddress1,
AuditCustomerHistory,,CustomerAddress2,
AuditCustomerHistory,,CustomerTown,
AuditCustomerHistory,,CustomerPostalCode,
AuditCustomerHistory,,IsCustomerReseller,
AuditCustomerHistory,,IsCustomerCreditRisk,
AuditCustomerHistory,,SpendCapacity,
AuditCustomerHistory,,RowLevelHashKey,
AuditCustomerHistory,,Note,
AuditCustomerHistory,,IsDeleted,
AuditCustomerHistory,,TransactionNumber,
AuditCustomerHistory,,UserAuthorizationId,
AuditCustomerHistory,,SysStartTime,
AuditCustomerHistory,,SysEndTime,
AuditMakeHistory,,AuditMakeHistoryId,
AuditMakeHistory,,MakeId,
AuditMakeHistory,,MakeName,
AuditMakeHistory,,RowLevelHashKey,
AuditMakeHistory,,Note,
AuditMakeHistory,,IsDeleted,
AuditMakeHistory,,TransactionNumber,
AuditMakeHistory,,UserAuthorizationId,
AuditMakeHistory,,SysStartTime,
AuditMakeHistory,,SysEndTime,
AuditModelHistory,,AuditModelHistoryId,
AuditModelHistory,,ModelId,
AuditModelHistory,,ModelName,
AuditModelHistory,,ModelVariant,
AuditModelHistory,,BodyName,
AuditModelHistory,,RowLevelHashKey,
AuditModelHistory,,Note,
AuditModelHistory,,IsDeleted,
AuditModelHistory,,TransactionNumber,
AuditModelHistory,,UserAuthorizationKey,
AuditModelHistory,,SysStartTime,
AuditModelHistory,,SysEndtime,
AuditOrderHistory,,AuditOrderHistoryId,
AuditOrderHistory,,OrderId,
AuditOrderHistory,,InvoiceNumber,
AuditOrderHistory,,TotalPrice,
AuditOrderHistory,,Date,
AuditOrderHistory,,RowLevelHashKey,
AuditOrderHistory,,Note,
AuditOrderHistory,,IsDeleted,
AuditOrderHistory,,TransactionNumber,
AuditOrderHistory,,UserAuthorizationId,
AuditOrderHistory,,SysStartTime,
AuditOrderHistory,,SysEndTime,
AuditOrderVehicleHistory,,AuditOrderVehicleHistory,
AuditOrderVehicleHistory,,OrderVehicleId,
AuditOrderVehicleHistory,,LineItemNumber,
AuditOrderVehicleHistory,,Price,
AuditOrderVehicleHistory,,Discount,
AuditOrderVehicleHistory,,DerivedDiscountedPrice,
AuditOrderVehicleHistory,,UserAuthorizationId,
AuditOrderVehicleHistory,,SysStartTime,
AuditOrderVehicleHistory,,SysEndTime,
AuditOrderVehicleHistory,,Note,
AuditOrderVehicleHistory,,IsDeleted,
AuditOrderVehicleHistory,,TransactionNumber,
AuditOrderVehicleHistory,,RowLevelHashKey,
AuditStaffHistory,,AuditStaffHistory,
AuditStaffHistory,,StaffId,
AuditStaffHistory,,StaffName,
AuditStaffHistory,,Department,
AuditStaffHistory,,RowLevelHashKey,
AuditStaffHistory,,Note,
AuditStaffHistory,,IsDeleted,
AuditStaffHistory,,TransactionNumber,
AuditStaffHistory,,UserAuthorizationId,
AuditStaffHistory,,SysStartTime,
AuditStaffHistory,,SysEndTime,
AuditVehicleHistory,,AuditVehicleHistoryId,
AuditVehicleHistory,,VehicleId,
AuditVehicleHistory,,VinNumber,
AuditVehicleHistory,,VehicleYear,
AuditVehicleHistory,,MSRP,
AuditVehicleHistory,,UserAuthorizationId,
AuditVehicleHistory,,SysStartTime,
AuditVehicleHistory,,SysEndTime,
AuditVehicleHistory,,Note,
AuditVehicleHistory,,isDeleted,
AuditVehicleHistory,,TransactionNumber,
AuditVehicleHistory,,RowLevelHashKey,
AuditVehicleStockHistory,,AuditVehicleStockHistoryId,
AuditVehicleStockHistory,,StockId,
AuditVehicleStockHistory,,StockCode,
AuditVehicleStockHistory,,RepairsCharge,
AuditVehicleStockHistory,,PartsCharge,
AuditVehicleStockHistory,,DeliveryCharge,
AuditVehicleStockHistory,,PurchasedDate,
AuditVehicleStockHistory,,UserAuthorizationId,
AuditVehicleStockHistory,,SysStartTime,
AuditVehicleStockHistory,,SysEndTime,
